,WATER_SYSTEM_NUMBER,WATER_SYSTEM_NAME,CITY,COUNTY,ZIPCODE,CLASSIFICATION,POPULATION,SERVICE_CONNECTIONS,REGULATING_AGENCY,VIOLATION_NUMBER,VIOLATION_TYPE_NAME,ANALYTE_NAME,RESULT,MCL,VIOL_BEGIN_DATE,VIOL_END_DATE,ENF_ACTION_NUMBER,ENF_ACTION_ISSUE_DATE,ENF_ACTION_TYPE_ISSUED,viol_duration,respose_time,issue_action_time,NUM_ACTIVE_ISSUES
10,CA0310012,AWA BUCKHORN PLANT,JACKSON,AMADOR,95642,COMMUNITY,9938,2728,DISTRICT 10 - STOCKTON,9310004,"MCL, LRAA",TTHM,0.094 MG/L,0.080 MG/L,2016-10-01,2016-12-31,9810005,2017-01-05,FORMAL ENFORCEMENT ACTION ISSUED,91.0,96.0,-5.0,0
11,CA0400049,BUTTE CREEK MHP,CHICO,BUTTE,95928,COMMUNITY,100,33,LPA34 - BUTTE COUNTY,1300104,"MCL,  AVERAGE",ARSENIC,.014 MG/L,0.010 MG/L,2012-07-01,2013-06-30,1400517,2014-11-14,RETURN TO COMPLIANCE,364.0,866.0,-502.0,0
12,CA0400049,BUTTE CREEK MHP,CHICO,BUTTE,95928,COMMUNITY,100,33,LPA34 - BUTTE COUNTY,1300104,"MCL,  AVERAGE",ARSENIC,.014 MG/L,0.010 MG/L,2012-07-01,2013-06-30,1300431,2013-09-03,FORMAL ENFORCEMENT ACTION ISSUED,364.0,429.0,-65.0,0
13,CA0400049,BUTTE CREEK MHP,CHICO,BUTTE,95928,COMMUNITY,100,33,LPA34 - BUTTE COUNTY,1500107,STATE PRIMARY MCL VIOL - NOT CR6,ARSENIC,,,2018-04-01,2018-06-30,1500580,2018-07-11,FORMAL ENFORCEMENT ACTION ISSUED,90.0,101.0,-11.0,2
14,CA0400063,MANZANITA ELEMENTARY SCHOOL,GRIDLEY,BUTTE,95948,NON-TRANSIENT NON-COMMUNITY,295,3,LPA34 - BUTTE COUNTY,1100002,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",,,2018-01-01,2018-03-31,1300408,2018-04-26,FORMAL ENFORCEMENT ACTION ISSUED,89.0,115.0,-26.0,0
15,CA0400081,FEATHER RIDGE ESTATES WATER CO,BERRY CREEK,BUTTE,95916,COMMUNITY,12,32,LPA34 - BUTTE COUNTY,1400008,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",,,2018-04-01,2018-06-30,1400500,2018-07-24,INFORMAL ENFORCEMENT ACTION ISSUED,90.0,114.0,-24.0,0
16,CA0510012,CAMANCHE SOUTH SHORE-EBMUD,"VALLEY SPRINGS,",CALAVERAS,95252,COMMUNITY,180,448,DISTRICT 10 - STOCKTON,9310003,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.067 MG/L,0.060 MG/L,2016-04-01,2016-06-30,9910006,2016-05-24,FORMAL ENFORCEMENT ACTION ISSUED,90.0,53.0,37.0,0
17,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221008,"MCL,  AVERAGE",ARSENIC,.02580000 MG/L,0.010 MG/L,2012-07-01,2012-09-30,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-1273.0,1364.0,4
18,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221008,"MCL,  AVERAGE",ARSENIC,.02580000 MG/L,0.010 MG/L,2012-07-01,2012-09-30,9621007,2018-02-27,RETURN TO COMPLIANCE,91.0,2067.0,-1976.0,4
19,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221009,"MCL,  AVERAGE",ARSENIC,25.6 UG/L,10 UG/L,2012-10-01,2012-12-31,9621009,2018-03-01,RETURN TO COMPLIANCE,91.0,1977.0,-1886.0,6
20,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221009,"MCL,  AVERAGE",ARSENIC,25.6 UG/L,10 UG/L,2012-10-01,2012-12-31,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-1365.0,1456.0,6
21,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221010,"MCL,  AVERAGE",ARSENIC,24.7 UG/L,10 UG/L,2013-01-01,2013-03-31,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,89.0,-1457.0,1546.0,8
22,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221010,"MCL,  AVERAGE",ARSENIC,24.7 UG/L,10 UG/L,2013-01-01,2013-03-31,9621009,2018-03-01,RETURN TO COMPLIANCE,89.0,1885.0,-1796.0,8
23,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221011,"MCL,  AVERAGE",ARSENIC,24.6 UG/L,10 UG/L,2013-04-01,2013-06-30,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-1547.0,1637.0,10
24,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221011,"MCL,  AVERAGE",ARSENIC,24.6 UG/L,10 UG/L,2013-04-01,2013-06-30,9621009,2018-03-01,RETURN TO COMPLIANCE,90.0,1795.0,-1705.0,10
25,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221012,"MCL,  AVERAGE",ARSENIC,25.2 UG/L,10 UG/L,2013-07-01,2013-09-30,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-1638.0,1729.0,12
26,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221012,"MCL,  AVERAGE",ARSENIC,25.2 UG/L,10 UG/L,2013-07-01,2013-09-30,9621009,2018-03-01,RETURN TO COMPLIANCE,91.0,1704.0,-1613.0,12
27,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221013,"MCL,  AVERAGE",ARSENIC,24.6 UG/L,10 UG/L,2013-10-01,2013-12-31,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-1730.0,1821.0,14
28,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221013,"MCL,  AVERAGE",ARSENIC,24.6 UG/L,10 UG/L,2013-10-01,2013-12-31,9621009,2018-03-01,RETURN TO COMPLIANCE,91.0,1612.0,-1521.0,14
29,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221014,"MCL,  AVERAGE",ARSENIC,24.3 UG/L,10 UG/L,2014-01-01,2014-03-31,9621009,2018-03-01,RETURN TO COMPLIANCE,89.0,1520.0,-1431.0,16
30,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221014,"MCL,  AVERAGE",ARSENIC,24.3 UG/L,10 UG/L,2014-01-01,2014-03-31,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,89.0,-1822.0,1911.0,16
31,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221015,"MCL,  AVERAGE",ARSENIC,24.1 UG/L,10 UG/L,2014-07-01,2014-09-30,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-2003.0,2094.0,18
32,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221015,"MCL,  AVERAGE",ARSENIC,24.1 UG/L,10 UG/L,2014-07-01,2014-09-30,9621009,2018-03-01,RETURN TO COMPLIANCE,91.0,1339.0,-1248.0,18
33,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221016,"MCL,  AVERAGE",ARSENIC,23.6 UG/L,10 UG/L,2014-10-01,2014-12-31,9621009,2018-03-01,RETURN TO COMPLIANCE,91.0,1247.0,-1156.0,20
34,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221016,"MCL,  AVERAGE",ARSENIC,23.6 UG/L,10 UG/L,2014-10-01,2014-12-31,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-2095.0,2186.0,20
35,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221017,"MCL,  AVERAGE",ARSENIC,24.0 UG/L,10 UG/L,2015-04-01,2015-06-30,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-2277.0,2367.0,24
36,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221017,"MCL,  AVERAGE",ARSENIC,24.0 UG/L,10 UG/L,2015-04-01,2015-06-30,9621009,2018-03-01,RETURN TO COMPLIANCE,90.0,1065.0,-975.0,24
37,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221023,"MCL,  AVERAGE",ARSENIC,26.1 UG/L,10 UG/L,2012-01-01,2012-03-31,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-1091.0,1181.0,0
38,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221023,"MCL,  AVERAGE",ARSENIC,26.1 UG/L,10 UG/L,2012-01-01,2012-03-31,9621009,2018-03-01,RETURN TO COMPLIANCE,90.0,2251.0,-2161.0,0
39,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221024,"MCL,  AVERAGE",ARSENIC,25.8 UG/L,10 UG/L,2012-04-01,2012-06-30,9621009,2018-03-01,RETURN TO COMPLIANCE,90.0,2160.0,-2070.0,2
40,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221024,"MCL,  AVERAGE",ARSENIC,25.8 UG/L,10 UG/L,2012-04-01,2012-06-30,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-1182.0,1272.0,2
41,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221025,"MCL,  AVERAGE",ARSENIC,23.8 UG/L,10 UG/L,2015-01-01,2015-03-31,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,89.0,-2187.0,2276.0,22
42,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221025,"MCL,  AVERAGE",ARSENIC,23.8 UG/L,10 UG/L,2015-01-01,2015-03-31,9621009,2018-03-01,RETURN TO COMPLIANCE,89.0,1155.0,-1066.0,22
43,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221026,"MCL,  AVERAGE",ARSENIC,24.0 UG/L,,2015-10-01,2015-12-31,9621009,2018-03-01,RETURN TO COMPLIANCE,91.0,882.0,-791.0,26
44,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221026,"MCL,  AVERAGE",ARSENIC,24.0 UG/L,,2015-10-01,2015-12-31,9621006,2016-01-15,FORMAL ENFORCEMENT ACTION ISSUED,91.0,106.0,-15.0,26
45,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221030,"MCL,  AVERAGE",ARSENIC,24 UG/L,10 UG/L,2016-01-01,2016-03-31,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-2552.0,2642.0,28
46,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221031,"MCL,  AVERAGE",ARSENIC,24 UG/L,10 UG/L,2016-04-01,2016-06-30,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-2643.0,2733.0,29
47,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221032,"MCL,  AVERAGE",ARSENIC,24 UG/L,10 UG/L,2016-07-01,2016-09-30,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-2734.0,2825.0,30
48,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221033,"MCL,  AVERAGE",ARSENIC,24 UG/L,10 UG/L,2016-10-01,2016-12-31,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-2826.0,2917.0,31
49,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221034,"MCL,  AVERAGE",ARSENIC,25 UG/L,10 UG/L,2017-01-01,2017-03-31,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,89.0,-2918.0,3007.0,32
50,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221035,"MCL,  AVERAGE",ARSENIC,24 UG/L,10 UG/L,2017-04-01,2017-06-30,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-3008.0,3098.0,33
51,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221036,"MCL,  AVERAGE",ARSENIC,26 UG/L,10 UG/L,2017-07-01,2017-09-30,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-3099.0,3190.0,34
52,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221037,"MCL,  AVERAGE",ARSENIC,24 UG/L,10 UG/L,2017-10-01,2017-12-31,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-3191.0,3282.0,35
53,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221038,"MCL,  AVERAGE",ARSENIC,23 UG/L,10 UG/L,2018-01-01,2018-03-31,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,89.0,-3283.0,3372.0,36
54,CA0600008,COLUSA CO. WWD #1 - GRIMES,GRIMES,COLUSA,95950,COMMUNITY,381,123,DISTRICT 21 - VALLEY,1221039,"MCL,  AVERAGE",ARSENIC,25.1 UG/L,10 UG/L,2018-04-01,2018-06-30,921006,2009-01-05,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-3373.0,3463.0,37
55,CA0900102,GOLD BEACH PARK,EL DORADO,EL DORADO,95623,COMMUNITY,100,50,LPA39 - EL DORADO COUNTY,1600006,"MCL,  AVERAGE",ARSENIC,11 MG/L,0.010 MG/L,2015-10-01,2015-12-31,9700080,2017-08-15,FORMAL ENFORCEMENT ACTION ISSUED,91.0,684.0,-593.0,2
56,CA0900102,GOLD BEACH PARK,EL DORADO,EL DORADO,95623,COMMUNITY,100,50,LPA39 - EL DORADO COUNTY,1600006,"MCL,  AVERAGE",ARSENIC,11 MG/L,0.010 MG/L,2015-10-01,2015-12-31,9700079,2016-01-20,INFORMAL ENFORCEMENT ACTION ISSUED,91.0,111.0,-20.0,2
57,CA0900102,GOLD BEACH PARK,EL DORADO,EL DORADO,95623,COMMUNITY,100,50,LPA39 - EL DORADO COUNTY,1600007,"MCL,  AVERAGE",ARSENIC,10 UG/L,5 UG/L,2014-04-01,2014-04-30,9700080,2017-08-15,FORMAL ENFORCEMENT ACTION ISSUED,29.0,1232.0,-1203.0,0
58,CA0900102,GOLD BEACH PARK,EL DORADO,EL DORADO,95623,COMMUNITY,100,50,LPA39 - EL DORADO COUNTY,1600007,"MCL,  AVERAGE",ARSENIC,10 UG/L,5 UG/L,2014-04-01,2014-04-30,1601606,2016-07-28,INFORMAL ENFORCEMENT ACTION ISSUED,29.0,849.0,-820.0,0
59,CA0900102,GOLD BEACH PARK,EL DORADO,EL DORADO,95623,COMMUNITY,100,50,LPA39 - EL DORADO COUNTY,1600008,"MCL,  AVERAGE",ARSENIC,18 UG/L,,2016-01-01,2016-12-31,9700081,2017-11-29,FORMAL ENFORCEMENT ACTION ISSUED,365.0,698.0,-333.0,4
60,CA1000004,BELMONT WATER CORPORATION,FRESNO,FRESNO,93727,COMMUNITY,264,40,DISTRICT 23 - FRESNO,9700002,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.024 UG/L,0.005 UG/L,2018-01-01,2018-03-31,9700114,2018-06-21,CA STATE ACTION ISSUED,89.0,171.0,-82.0,0
61,CA1000019,FCSA #30/EL PORVENIR,THREE ROCKS,FRESNO,93608,COMMUNITY,185,56,DISTRICT 23 - FRESNO,1223022,"MCL,  AVERAGE",TTHM,.09600000 MG/L,0.080 MG/L,2012-01-01,2012-03-31,9800162,2014-11-07,STATE INTENTIONAL NO ACTION TAKEN,90.0,1041.0,-951.0,0
62,CA1000019,FCSA #30/EL PORVENIR,THREE ROCKS,FRESNO,93608,COMMUNITY,185,56,DISTRICT 23 - FRESNO,1223022,"MCL,  AVERAGE",TTHM,.09600000 MG/L,0.080 MG/L,2012-01-01,2012-03-31,9800171,2019-12-05,FORMAL ENFORCEMENT ACTION ISSUED,90.0,2895.0,-2805.0,0
63,CA1000019,FCSA #30/EL PORVENIR,THREE ROCKS,FRESNO,93608,COMMUNITY,185,56,DISTRICT 23 - FRESNO,1223022,"MCL,  AVERAGE",TTHM,.09600000 MG/L,0.080 MG/L,2012-01-01,2012-03-31,912164,2008-10-30,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-1158.0,1248.0,0
64,CA1000019,FCSA #30/EL PORVENIR,THREE ROCKS,FRESNO,93608,COMMUNITY,185,56,DISTRICT 23 - FRESNO,1223023,"MCL,  AVERAGE",TTHM,.11600000 MG/L,0.080 MG/L,2012-04-01,2012-06-30,9800171,2019-12-05,FORMAL ENFORCEMENT ACTION ISSUED,90.0,2804.0,-2714.0,3
65,CA1000019,FCSA #30/EL PORVENIR,THREE ROCKS,FRESNO,93608,COMMUNITY,185,56,DISTRICT 23 - FRESNO,1223023,"MCL,  AVERAGE",TTHM,.11600000 MG/L,0.080 MG/L,2012-04-01,2012-06-30,9800162,2014-11-07,STATE INTENTIONAL NO ACTION TAKEN,90.0,950.0,-860.0,3
66,CA1000019,FCSA #30/EL PORVENIR,THREE ROCKS,FRESNO,93608,COMMUNITY,185,56,DISTRICT 23 - FRESNO,1223023,"MCL,  AVERAGE",TTHM,.11600000 MG/L,0.080 MG/L,2012-04-01,2012-06-30,912164,2008-10-30,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-1249.0,1339.0,3
67,CA1000019,FCSA #30/EL PORVENIR,THREE ROCKS,FRESNO,93608,COMMUNITY,185,56,DISTRICT 23 - FRESNO,1223024,"MCL,  AVERAGE",TTHM,.12600000 MG/L,0.080 MG/L,2012-07-01,2012-09-30,912164,2008-10-30,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-1340.0,1431.0,6
68,CA1000019,FCSA #30/EL PORVENIR,THREE ROCKS,FRESNO,93608,COMMUNITY,185,56,DISTRICT 23 - FRESNO,1223024,"MCL,  AVERAGE",TTHM,.12600000 MG/L,0.080 MG/L,2012-07-01,2012-09-30,9800171,2019-12-05,FORMAL ENFORCEMENT ACTION ISSUED,91.0,2713.0,-2622.0,6
69,CA1000019,FCSA #30/EL PORVENIR,THREE ROCKS,FRESNO,93608,COMMUNITY,185,56,DISTRICT 23 - FRESNO,1223024,"MCL,  AVERAGE",TTHM,.12600000 MG/L,0.080 MG/L,2012-07-01,2012-09-30,9800162,2014-11-07,STATE INTENTIONAL NO ACTION TAKEN,91.0,859.0,-768.0,6
70,CA1000019,FCSA #30/EL PORVENIR,THREE ROCKS,FRESNO,93608,COMMUNITY,185,56,DISTRICT 23 - FRESNO,9800002,"MCL,  AVERAGE",TTHM,0.160 MG/L,0.080 MG/L,2012-10-01,2012-12-31,9800162,2014-11-07,STATE INTENTIONAL NO ACTION TAKEN,91.0,767.0,-676.0,9
71,CA1000019,FCSA #30/EL PORVENIR,THREE ROCKS,FRESNO,93608,COMMUNITY,185,56,DISTRICT 23 - FRESNO,9800002,"MCL,  AVERAGE",TTHM,0.160 MG/L,0.080 MG/L,2012-10-01,2012-12-31,9800171,2019-12-05,FORMAL ENFORCEMENT ACTION ISSUED,91.0,2621.0,-2530.0,9
72,CA1000019,FCSA #30/EL PORVENIR,THREE ROCKS,FRESNO,93608,COMMUNITY,185,56,DISTRICT 23 - FRESNO,9800002,"MCL,  AVERAGE",TTHM,0.160 MG/L,0.080 MG/L,2012-10-01,2012-12-31,912164,2008-10-30,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-1432.0,1523.0,9
73,CA1000019,FCSA #30/EL PORVENIR,THREE ROCKS,FRESNO,93608,COMMUNITY,185,56,DISTRICT 23 - FRESNO,9800003,"MCL,  AVERAGE",TTHM,0.163 MG/L,0.080 MG/L,2013-01-01,2013-03-31,9800171,2019-12-05,FORMAL ENFORCEMENT ACTION ISSUED,89.0,2529.0,-2440.0,12
74,CA1000019,FCSA #30/EL PORVENIR,THREE ROCKS,FRESNO,93608,COMMUNITY,185,56,DISTRICT 23 - FRESNO,9800003,"MCL,  AVERAGE",TTHM,0.163 MG/L,0.080 MG/L,2013-01-01,2013-03-31,912164,2008-10-30,FORMAL ENFORCEMENT ACTION ISSUED,89.0,-1524.0,1613.0,12
75,CA1000019,FCSA #30/EL PORVENIR,THREE ROCKS,FRESNO,93608,COMMUNITY,185,56,DISTRICT 23 - FRESNO,9800003,"MCL,  AVERAGE",TTHM,0.163 MG/L,0.080 MG/L,2013-01-01,2013-03-31,9800162,2014-11-07,STATE INTENTIONAL NO ACTION TAKEN,89.0,675.0,-586.0,12
